父微博用户ID,count,total,percent,followers,root,TimeDIST,NetDIST
a52c51402a6f2f708767e38a351e2d00,2276,3859,58.979010106245134,1549,a52c51402a6f2f708767e38a351e2d00,0,0
bd996818a67dad91fc0fb67fe78a6bc3,2392,3306,72.35329703569269,185,bd996818a67dad91fc0fb67fe78a6bc3,0,0
76bff4a214153e162c98d7ff7d7f9e06,2500,4961,50.39306591413022,3918,76bff4a214153e162c98d7ff7d7f9e06,0,0
c7af761e0f90995b5a9a0827276f0512,2960,7914,37.402072276977506,2079,c7af761e0f90995b5a9a0827276f0512,0,0
318fc95107fd4ff003a3167940091152,3095,3258,94.99693063228978,29574,318fc95107fd4ff003a3167940091152,0,0
3e9e04cfa8924207ae0d0ced47cca7ba,3165,3324,95.21660649819496,2138,3e9e04cfa8924207ae0d0ced47cca7ba,0,0
14baec16e62afaf8aac187f828122d21,3243,6652,48.75225496091401,3027,14baec16e62afaf8aac187f828122d21,0,0
407ca48f6b41117e98fb675a8af44261,3259,3356,97.10965435041716,2573,407ca48f6b41117e98fb675a8af44261,0,0
59201a4cb94b46ae9ef8a16b9cdec55e,3641,4747,76.70107436275542,553,59201a4cb94b46ae9ef8a16b9cdec55e,0,0
318fc95107fd4ff003a3167940091152,4121,5648,72.96388101983003,29574,318fc95107fd4ff003a3167940091152,0,0
1ccd36b5a88b0641491e8e315cc889cd,4183,4260,98.1924882629108,260,1ccd36b5a88b0641491e8e315cc889cd,0,0
c7d207133d5343995b0e98e22a6edc7d,4190,4562,91.8456817185445,9525,c7d207133d5343995b0e98e22a6edc7d,0,0
43a971db6364c4ed7cd101feca243600,4567,5038,90.6510520047638,31088,43a971db6364c4ed7cd101feca243600,0,0
12d856f800dc42c4c5229b99cbeb4053,6226,8200,75.92682926829268,1289,12d856f800dc42c4c5229b99cbeb4053,0,0
03e1002b3e6a2a4d9d1f110232da0088,6494,6719,96.65128739395745,1370,03e1002b3e6a2a4d9d1f110232da0088,0,0
013be8a44f35b9368f36715b053aa990,8317,8390,99.12991656734206,736,013be8a44f35b9368f36715b053aa990,0,0
